,Accuracy,Precision,Recall,F1,AUC
XGBoost,0.9999787568509155,0.9999629231396685,1.0,0.9999814612261545,0.9999998727418314
Random Forest,0.9998725411054935,0.9998516980572445,0.9999258435298479,0.9998887694190056,0.999999729806932
Neural Network (MLP),0.9995326507201427,0.9997403753430755,0.9994438264738599,0.9995920789141882,0.9999941608788175
Logistic Regression,0.9991502740366232,0.9987406474553671,0.9997775305895439,0.9992588200415061,0.9999946551569214
Naive Bayes,0.9317457619917576,0.8940977406190903,0.9992213570634038,0.9437411356831433,0.9515428153284051
